date,equity,month_ret,peak,dd
2012-06-29,1744368.6,0.09741197,3670405.5,-0.5247477
2012-07-31,1693400.8,-0.029218506,3670405.5,-0.5386339
2012-08-31,1868771.5,0.10356127,3670405.5,-0.4908542
2012-09-28,2010172.4,0.07566511,3670405.5,-0.45232964
2012-10-31,1952052.4,-0.028912973,3670405.5,-0.46816438
2012-11-30,2026384.6,0.03807905,3670405.5,-0.44791257
2012-12-31,2124165.2,0.048253752,3670405.5,-0.42127234
2013-01-31,2253187.8,0.060740393,3670405.5,-0.3861202
2013-02-28,2218771.5,-0.015274442,3670405.5,-0.3954969
2013-03-28,2464765.8,0.1108695,3670405.5,-0.3284759
2013-04-30,2423026.2,-0.016934466,3670405.5,-0.3398478
2013-05-31,2702809.8,0.1154686,3670405.5,-0.2636209
2013-06-28,2703805.2,0.00036836788,3670405.5,-0.2633497
2013-07-31,2912467.0,0.077173404,3670405.5,-0.20649993
2013-08-30,2922016.2,0.003278683,3670405.5,-0.20389825
2013-09-30,3193058.2,0.092758544,3670405.5,-0.13005298
2013-10-31,3226132.2,0.010358108,3670405.5,-0.12104201
2013-11-29,3274098.5,0.014868056,3670405.5,-0.107973635
2013-12-31,3274613.0,0.00015710632,3670405.5,-0.107833445
2014-01-31,3251661.2,-0.007008996,3670405.5,-0.11408663
2014-02-28,3492245.0,0.07398794,3670405.5,-0.048539758
2014-03-31,3448438.5,-0.012543929,3670405.5,-0.060474813
2014-04-30,3467173.2,0.0054328684,3670405.5,-0.05537051
2014-05-30,3675692.0,0.06014079,3675692.0,0.0
2014-06-30,3900149.2,0.061065316,3900149.2,0.0
2014-07-31,3719592.2,-0.04629489,3900149.2,-0.046294868
2014-08-29,3872687.5,0.04115914,3900149.2,-0.007041216
2014-09-30,3713708.0,-0.041051436,3900149.2,-0.04780364
2014-10-31,3820271.0,0.0286945,3900149.2,-0.020480812
2014-11-28,3934481.0,0.029895723,3934481.0,0.0
2014-12-31,3891840.5,-0.010837615,3934481.0,-0.010837615
2015-01-30,3882889.8,-0.0022998694,3934481.0,-0.013112605
2015-02-27,4108516.5,0.05810801,4108516.5,0.0
2015-03-31,4187160.8,0.019141769,4187160.8,0.0
2015-04-30,4094670.0,-0.022089148,4187160.8,-0.022089124
2015-05-29,4310914.5,0.05281124,4310914.5,0.0
2015-06-30,4138988.8,-0.03988153,4310914.5,-0.039881527
2015-07-31,4075176.5,-0.015417328,4310914.5,-0.054683983
2015-08-31,4005005.0,-0.017219247,4310914.5,-0.070961654
2015-09-30,4113768.8,0.027156994,4310914.5,-0.045731783
2015-10-30,4467113.5,0.08589318,4467113.5,0.0
2015-11-30,4472587.5,0.0012254,4472587.5,0.0
2015-12-31,4537831.0,0.01458738,4537831.0,0.0
2016-01-29,4278942.0,-0.057051323,4537831.0,-0.05705124
