theme,name,rank,industry,members_hash,n_members,snapshot_date,retrieved_at
mass-market-vehicles,大衆車,187,消費者一般,-2080607385164188544,3,20260416,2026-04-16T22:32:57.178853
investment-banking,投資銀行,188,金融,2600909348908399243,6,20260416,2026-04-16T22:32:57.178853
nuclear-nextgen,原発機器（次世代）,189,エネルギー,-8201009253772881393,4,20260416,2026-04-16T22:32:57.178853
lifescience-consumables,生命科学：消耗品,190,ヘルスケア,-6890869512229326672,3,20260416,2026-04-16T22:32:57.178853
lifescience-diagnose,生命科学：精密分析,191,ヘルスケア,344793565104988794,7,20260416,2026-04-16T22:32:57.178853
semi-equip-front,半導体製造装置：前工程,192,テクノロジー,-9086107826469986027,5,20260416,2026-04-16T22:32:57.178853
pe-private-credit,PE・プライベトクレジト,193,金融,-3809329125099770468,7,20260416,2026-04-16T22:32:57.178853
dc-rack-connect,ラック内接続,194,テクノロジー,878054706695103240,3,20260416,2026-04-16T22:32:57.178853
dining,カジュアルダイニング,195,消費者一般,3120472377343535900,2,20260416,2026-04-16T22:32:57.178853
lifescience-service,生命科学：創薬受託,196,ヘルスケア,-8797724278869183130,4,20260416,2026-04-16T22:32:57.178853
defence-parts,防衛：素材・部材,197,資本財,-6143218381446948276,4,20260416,2026-04-16T22:32:57.178853
coking-coal,石炭：原料炭中心,198,素材,-2058206685520011241,6,20260416,2026-04-16T22:32:57.178853
biotech-specialized,バイオテック：特化,199,ヘルスケア,-8286518027926340239,3,20260416,2026-04-16T22:32:57.178853
capital-equipment-leasing,資本財リース,200,資本財,5703040926683623580,5,20260416,2026-04-16T22:32:57.178853
infra-contractors,電気工事・施工,201,資本財,1993447803643840331,5,20260416,2026-04-16T22:32:57.178853
biotech-genomics,バイオテック：ゲノム,202,ヘルスケア,7419541698001252525,6,20260416,2026-04-16T22:32:57.178853
lifescience-pf,生命科学：総合,203,ヘルスケア,-5987564362474516630,3,20260416,2026-04-16T22:32:57.178853
airlines-lcc,旅客航空：LCC,204,消費者一般,5590014011723638116,2,20260416,2026-04-16T22:32:57.178853
solar-energy-storage,太陽光発電,205,テクノロジー,666462703090331854,5,20260416,2026-04-16T22:32:57.178853
defence-maintenance,防衛：保守部品・MRO,206,資本財,2618466207512309356,5,20260416,2026-04-16T22:32:57.178853
defence-engine,防衛：推進システム,207,資本財,4343195824133067092,3,20260416,2026-04-16T22:32:57.178853
cruise-lines,クルーズ船,208,消費者一般,-2476684110363550234,4,20260416,2026-04-16T22:32:57.178853
